State,Standard,Postal,Capital
Alabama,Ala,AL,Montgomery
Alaska,Alaska,AK,Juneau
Arizona,Ariz,AZ,Phoenix
Arkansas,Ark,AR,Little Rock
California,Calif,CA,Sacramento
Colorado,Colo,CO,Denver
Connecticut,Conn,CT,Hartford
Delaware,Del,DE,Dover
Florida,Fla,FL,Tallahassee
Georgia,Ga,GA,Atlanta
Hawaii,Hawaii,HI,Honolulu
Idaho,Idaho,ID,Boise
Illinois,Ill,IL,Springfield
Indiana,Ind,IN,Indianapolis
Iowa,Iowa,IA,Des Moines
Kansas,Kans,KS,Topeka
Kentucky,Ky,KY,Frankfort
Louisiana,La,LA,Baton Rouge
Maine,Maine,ME,Augusta
Maryland,Md,MD,Annapolis
Massachusetts,Mass,MA,Boston
Michigan,Mich,MI,Lansing
Minnesota,Minn,MN,St Paul
Mississippi,Miss,MS,Jackson
Missouri,Mo,MO,Jefferson City
Montana,Mont,MT,Helena
Nebraska,Nebr,NE,Lincoln
Nevada,Nev,NV,Carson City
New Hampshire,NH,NH,Concord
New Jersey,NJ,NJ,Trenton
New Mexico,NM,NM,Santa Fe
New York,NY,NY,Albany
North Carolina,NC,NC,Raleigh
North Dakota,ND,ND,Bismarck
Ohio,Ohio,OH,Columbus
Oklahoma,Okla,OK,Oklahoma City
Oregon,Ore,OR,Salem
Pennsylvania,Pa,PA,Harrisburg
Rhode Island,RI,RI,Providence
South Carolina,SC,SC,Columbia
South Dakota,SD,SD,Pierre
Tennessee,Tenn,TN,Nashville
Texas,Tex,TX,Austin
Utah,Utah,UT,Salt Lake City
Vermont,Vt,VT,Montpelier
Virginia,Va,VA,Richmond
Washington,Wash,WA,Olympia
West Virginia,WVa,WV,Charleston
Wisconsin,Wis,WI,Madison
Wyoming,Wyo,WY,Cheyenne
Wyoming,Wyo,WY,Cheyenne
